Sentiment,SentimentText
0,   I didn't realize it was THAT deep. Geez give a girl a warning atleast!
0,"  no ass beatings, checked out Playhouse in Baltimore this weekend as well.  Feeling quite rested and a bit out of sorts."
1, @aChAotIcBeaUtY
0, - thelovelybones: I plan on owning this â€¦donâ€™t judge me. http://tumblr.com/xr0238tmq
0, crap day tat will get craper
1, awake...finally..random dream...i was a penguin but i lived in jersey and i oddly lived in a icecream store lolz 
1, ..... hot choco is the best!
1," elise and melanie are the SHIZ,"
0, anticipating a tough day ahead
0," cold, despite the heater. weirdly though, it's not actually cold today!"
0, - I love you guys so much that it hurts. http://tumblr.com/xkh1z19us
0, &quot;An unknown error occured (-4)&quot;. uh oh. iPhone OS 3 fail so far 
1,- Every so often I catch my own reflection &amp; think .. Now that's one cool son-of-a-b*tch .. today's one of those days 
1," come to manchester while your in england  id love to meet you  did you have fun in germany? its beautiful, i love it. (L) xx"
0, &quot;I'm giving up on you. I don't care how you mess up your life now.&quot;... :'(
0,  &gt;. Bodies from Air France crash have been found  http://twurl.nl/dvu8be (via @Paisano )
1, *exited* I just bought some oreos!! I hope everyone likes oreos..
0,    everyone went home. and not everyone was even here! ~CMF &lt;3
0, Dont Wanna Leave NY Today.
0," , Alllllan ruins my lifeeee."
0,    UGHHHHHHHHHHHHHHHHHHHHHHHHHHHHH
1, ??? what does it means ?
0, __cheer up emo kid.
0,  another year of Lakers .. That's neither magic nor fun ...
0,"- @littlecharva - the full voice control is making me want iPhone 3GS, but 02 will charge me a fortune as my 3G contract not up til April "
1,              omg its already 7:30 :O
0,  myspace peOplE  can get really angry if I don't answer them right away... JA!
0,    I'll be working when Pottercast/Lupins/Willows come near me.  FAIL.
1, @PhillMason @Philoscribe Thank you. I am genuinely grateful
0,  nothing....
0,     angry
0," french lost, #fb"
1, am excited
1, &lt;---My expression watching this again: http://tinyurl.com/eqbwe
0,   My horsie is moving on Saturday morning.
0,   i miss you guys too     i think i'm wearing skinny jeans a cute sweater and heels   not really sure   what are you doing today
1," @MsNovember It's a shame all the women in Mamma Mia are so horny, since all the men on this island are so.. http://tr.im/kmET"
0, @taylorswift13 didnt win the first award she was nominated for. Oh well.. Shes tied for most nominations.
1, @dandelionas is making fettucini and garlic bread!
0,               I HAVE NOOOOOOOOOO FRIENDS ON TWITTER IT MAKES ME SAD WILL SOMEONE FOLLOW ME      
0,          .. Omgaga. Im sooo  im gunna CRy. I've been at this dentist since 11.. I was suposed 2 just get a crown put on (30mins)...
1," @hawaiibuzz: &quot;yes, i am lol j/k luv this! @DJDolceVita: &quot;you are like a gentle breeze that has blown throug... â™« http://blip.fm/~7s7mn"
0, - Great! Im bored at the moment and just have no idea on what to do!  Missing Boyfie too! Damn iâ€™m... http://tumblr.com/xzp224xgj
0, but I don't want a boyfriend for the summer.
0,   #Battleground
0,  so whats the status on next weekend
